propuestas,organizador,facultad,nombre
"Denunciar a Francisco Tamayo Gonzalo","Juan Antonio Emiliano Serra Riquelme",Odontología,"Universidad de Valladolid"
"Denunciar a Lucho Carranza Córdoba","Agapito Goicoechea Blázquez","Ciencias Económicas","Universidad Complutense de Madrid"
"Echar a Rosaura Romero Corral","Visitación Pujadas Sierra",Medicina,"Universidad Ramon Llull"
"Quitar el busto de Lorena Puente-Aranda","Maximiano Moreno Serna",Matemática,"Universidad Rey Juan Carlos"
"Echar a Loreto Ribas Barragán","Marcia Vaquero Perea",Veterinaria,"Universidad Complutense de Madrid"
"Hablar con Cecilio de Sanchez","Rosa María Mendizábal Elorza",Información,"Universidad Miguel Hernández de Elche"
"Hablar con Marciano Leal Cortina","Cloe Andres Villalonga",Derecho,"Universidad Antonio de Nebrija"
"Echar a Martina Calvet-Puerta","Hilario José Ángel Bernal Neira","Ciencias Físicas y Matemáticas","Universidad de Huelva"
"Denunciar a Domitila Victoria Lladó Osorio","Maximiliano Díez Hervás",Diseño,"Universidad Fernando Pessoa-Canarias"
"Hablar con Hernán Laguna Aparicio","Ruy Fuentes","Ciencias de la Salud","Universidad Internacional de Cataluña"
"Quitar el busto de Gilberto Tejada","Selena Morell Vendrell",Ingeniería,"Universidad de Zaragoza"
"Quitar el busto de Lisandro Llanos Mena","Saturnina Miró-Izquierdo",Matemática,"Universidad Politécnica de Cartagena"
"Denunciar a Rodrigo Ramírez Benet","Pánfilo Ibán Criado Ariza",Diseño,"Universidad Internacional de Cataluña"
"Hablar con Anabel Javiera Velasco Ferrández","Emigdio Menendez Abad",Información,"Universidad de Granada"
"Hablar con Elisa Taboada Osuna","Eva María Solís Martin",Derecho,"Universidad del País Vasco"
"Echar a Teresita Agustí Piquer","Nacho Agullo Valverde",Agronomía,"Universidad Pontificia de Salamanca"
"Denunciar a Modesto Pinto-Jaén","José María Barreda Rivero",Veterinaria,"Universidad de Valencia"
"Denunciar a Gisela del Suárez","Rogelio del Borrell",Derecho,"Universidad Autónoma de Madrid"
"Denunciar a Dafne Infante","Poncio Álamo","Ciencias Económicas","Universidad Ramon Llull"
"Hablar con Violeta Olmedo Miró","Florentino Vives Plana",Comunicación,"Universidad de Navarra"
"Denunciar a José Ángel Terrón Buendía","Amílcar Chuy Jover Rosell","Ciencias Sociales","Universidad Pontificia Comillas"
"Denunciar a Eric Fuente Landa","Eugenio del Angulo","Ciencias de la Educación","Universidad Pontificia de Salamanca"
"Quitar el busto de Paz Asensio Almeida","Cecilio Gutiérrez Mendez",Psicología,"Universidad Católica Santa Teresa de Jesús de Ávila"
"Quitar el busto de Alejandro Mata Morán","Isa Hoz Cabezas",Arquitectura,"Universidad San Jorge"
"Quitar el busto de Florina Ascensión Morcillo Bauzà","Raquel Belmonte Andrade",Química,"Universidad Fernando III"
"Hablar con Merche Roma Arjona","Loreto Mendoza Catalán",Medicina,"Universidad Politécnica de Valencia"
"Quitar el busto de Trinidad Roselló Company","Ricarda Arana Villena","Ciencias Sociales","Universidad Europea del Atlántico"
"Quitar el busto de Rubén Giralt-Morales","Perlita de Hierro","Ciencias Exactas","Universidad de La Rioja"
"Quitar el busto de Jose Manuel Cobos Malo","Alondra Río Bonet",Agronomía,"Universidad Internacional de la Empresa"
"Echar a Isabela Dueñas Conde","Teobaldo Pardo Palmer",Comunicación,"Universidad Pontificia de Salamanca"
"Quitar el busto de Gil Prada Barba","Teresa Jaume Blázquez",Psicología,"Universidad de La Laguna"
"Quitar el busto de Úrsula Palomares Mir","Alex Faustino Botella Taboada",Filosofía,"Universidad Fernando Pessoa-Canarias"
"Hablar con Tere Oliva Ferrer","María Carmen del Balaguer",Agronomía,"Universidad Alfonso X el Sabio"
"Denunciar a Alejandra Zoraida Requena Lerma","Leyre Milla Boada",Veterinaria,"Universidad Antonio de Nebrija"
"Denunciar a Ani Orozco","Renato Echeverría","Ciencias Sociales","Universidad Politécnica de Cartagena"
"Quitar el busto de Mercedes Reig-Rocha","Casemiro Delgado Arrieta",Información,"Universidad Fernando III"
"Denunciar a Eli Ricart Garzón","Herminia Paloma Almansa Aguiló","Ciencias de la Educación","Universidad de las Islas Baleares"
"Quitar el busto de Nazaret Rodríguez","Cintia Gras Real",Medicina,"Universidad Internacional de la Empresa"
"Denunciar a Liliana Guijarro Diéguez","José María Cruz Morata",Información,"Universidad CEU Cardenal Herrera"
"Echar a Juan del Aparicio","Agapito Navas Alegre","Ciencias Físicas y Matemáticas","Universidad de Vich"
"Denunciar a Custodia Ángela Morcillo Feijoo","Elpidio Andrés Navarro",Arquitectura,"Universidad de Diseño, Innovación y Tecnología"
"Quitar el busto de Charo Montoya Castañeda","Adelaida Pera Julián",Matemática,"Universidad de Almería"
"Denunciar a Javiera Esparza Santos","Serafina Ortuño Estevez",Matemática,"Universidad de Santiago de Compostela"
"Hablar con Gema Morera-Narváez","Seve Ferrero Martínez",Derecho,"Universidad de Diseño, Innovación y Tecnología"
"Denunciar a Iker Fito Tenorio Galán","Ángel Roura Espinosa",Veterinaria,"Universidad de La Rioja"
"Quitar el busto de Lino Águila Noguera","Diana Barrios Marcos",Filosofía,"Universidad Francisco de Vitoria"
"Denunciar a Darío Toro Chamorro","Marcelo Juliá Carreño",Humanidades,"Universidad de Diseño, Innovación y Tecnología"
"Echar a Priscila Jordá Viana","Valeria Enríquez",Filosofía,"Universidad de Vigo"
"Hablar con Josefa Casals Niño","Abraham Barrena",Odontología,"Universidad de La Coruña"
"Echar a Berta Gelabert Gascón","Hilario Ferrándiz Bejarano",Medicina,"Universidad Pontificia de Salamanca"
"Hablar con Jesús Jiménez-Alegria","Elodia de Aguilera",Medicina,"Universidad Católica de Valencia San Vicente Mártir"
"Denunciar a Florina Ani Exposito Abascal","Dionisio Márquez Cózar",Química,"Universidad Europea del Atlántico"
"Denunciar a Eliseo Perez Pedro","Carlito Ojeda",Ingeniería,"ESIC Universidad"
"Echar a Cayetana Rivera Sanz","Fidel Gallardo-Alcázar",Ingeniería,"Universidad de Sevilla"
"Hablar con Chucho Alcántara Quevedo","Valentina Bermejo Aguiló","Ciencias Económicas","ESIC Universidad"
"Quitar el busto de Gabriel Lladó Alcalde","Buenaventura Canals Posada",Derecho,"Universidad Pontificia Comillas"
"Hablar con Reinaldo Nevado Sevillano","Agustina Doménech Rosselló",Psicología,"Universidad Jaime I"
"Quitar el busto de Camila Vallés García","Ema Nicolás Montesinos","Educación Física","Universidad de Las Palmas de Gran Canaria"
"Quitar el busto de Plácido Sola Yáñez","Eduardo Antón Castrillo",Odontología,"Universidad de Castilla-La Mancha"
"Quitar el busto de Quique Guerrero-Cornejo","Raquel de Bárcena","Ciencias Económicas","Universidad Jaime I"
"Quitar el busto de Régulo Galiano","Oriana Cabo Cánovas",Humanidades,"Universidad de La Laguna"
"Quitar el busto de Tadeo Cantón Huguet","Marianela Segarra Vázquez","Ciencias Sociales","Universidad Abad Oliva CEU"
"Hablar con Marisela Saura Mateos","Eva María Rivero Riera",Humanidades,"Universidad de La Rioja"
"Quitar el busto de Luís Edelmiro Tomé Casado","Zaida Páez Garrido",Veterinaria,"Universidad Internacional de Cataluña"
"Echar a Nando de Sanmiguel","Renato Edmundo Galván Chamorro",Matemática,"Universidad Miguel Hernández de Elche"
"Echar a Pepita Criado Torrecilla","Alexandra Carpio Gómez",Diseño,"Universidad de Mondragón"
"Quitar el busto de Juan Manuel Martí Ortuño","Nicolás Amat Perelló",Comunicación,"Universidad Internacional de Valencia"
"Echar a Cruz Blanco Ariño","José Manuel Gelabert Toro","Ciencias Sociales","Universidad Internacional Isabel I de Castilla"
"Quitar el busto de Cristóbal Rios Sevillano","Severino del Rozas","Ciencias Exactas","Universidad de Jaén"
"Quitar el busto de Mirta de Gallo","Miriam Cánovas Mendizábal",Información,"Universidad Internacional de la Empresa"
"Echar a Ascensión Patiño Arellano","Charo del Galiano","Ciencias Exactas","Universidad Internacional de Cataluña"
"Echar a Ramona Tere Mascaró Arrieta","Macarena Rufina Llobet Zaragoza",Arquitectura,"Universidad de Gerona"
"Hablar con Patricia Tena Cobos","Ruben del Carreras",Psicología,"Universidad Intercontinental de la Empresa"
"Hablar con Leandro Díaz Rubio","Guillermo de Pereira",Medicina,"Universidad Alfonso X el Sabio"
"Quitar el busto de Cristian Clavero Torrens","Valeria Enríquez",Filosofía,"Universidad de Vigo"
"Echar a Tristán Jordá Sainz","Ezequiel del Pineda","Ciencias de la Educación","Universidad Internacional Isabel I de Castilla"
"Quitar el busto de Esther Hernando Linares","Danilo Ruano","Ciencias de la Educación","Universidad CEU San Pablo"
"Hablar con Yéssica Nevado-Báez","Jordana Blanch Canales",Odontología,"Universidad Politécnica de Valencia"
"Echar a Ibán del Montenegro","Juan Luis Lumbreras Tello",Psicología,"Universidad Autónoma de Barcelona"
"Hablar con Balduino de Aranda","Rosario Sosa-Tejedor",Medicina,"Universidad Europea del Atlántico"
"Denunciar a Inmaculada Tenorio Zorrilla","Carmela Marín Elías",Matemática,"Universidad de Mondragón"
"Quitar el busto de Isidoro Galván Bermúdez","Aroa Diéguez Río",Información,"Universidad de Huelva"
"Denunciar a Sandalio Cerdán Alcántara","Lina Andres Miró",Ingeniería,"Universidad Europea Miguel de Cervantes"
"Quitar el busto de Gerónimo Ayllón Morales","Florentino Enríquez-Hervia","Ciencias Exactas","Universidad de Diseño, Innovación y Tecnología"
"Denunciar a Leonardo del Suárez","Coral Yuste Giménez",Humanidades,"Universidad CEU San Pablo"
"Quitar el busto de Maxi Rosado-Anglada","Berta Vera Cabo",Ingeniería,"Universidad Carlos III de Madrid"
"Echar a Balduino Vallejo Arranz","Juanito Barrena Garay","Ciencias Exactas","Universidad Intercontinental de la Empresa"
"Denunciar a Horacio Montalbán Abellán","Almudena Luisa Manzanares Alba","Ciencias Exactas","Universidad Internacional de La Rioja"
"Hablar con Tomasa Menéndez Puente","Begoña Escamilla Tomé",Odontología,"Universidad de La Laguna"
"Quitar el busto de Ángeles Aliaga","Natividad Elías-Reig","Ciencias de la Educación","Universidad CEU Cardenal Herrera"
"Denunciar a Reina Jordá Vara","Jafet Galindo Pablo","Ciencias Sociales","Universidad de Salamanca"
"Echar a Candelaria Recio","Seve Téllez Lumbreras",Matemática,"Universidad Ramon Llull"
"Echar a Pilar Vizcaíno Dominguez","Galo Moliner Farré",Filosofía,"Universidad IE"
"Denunciar a Adalberto Garmendia Zorrilla","Antonio Roselló Cerdá","Educación Física","Universidad de Salamanca"
"Echar a Felipe Roma Tejedor","Elena del Chico",Medicina,"Universidad Politécnica de Valencia"
"Hacer un huerto en Universidad Internacional de La Rioja","Román Martí Pérez","Ciencias Físicas y Matemáticas","Universidad de La Rioja"
"Quitar las nuevas vallas de los jardines entre facultades Universidad de Huelva","Isidoro Becerra Arjona",Humanidades,"Universidad del País Vasco"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad de Extremadura","Saturnina Rico Bolaños",Humanidades,"Universidad Pontificia Comillas"
"Promover cursos de lenguas extranjeras Universidad Francisco de Vitoria","Salomón Oliva Reina",Filosofía,"Universidad Antonio de Nebrija"
"Crear un programa de eficiencia energética en los edificios de la Universidad de Sevilla","Benjamín Amador Cárdenas",Odontología,"Universidad Fernando III"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad de Córdoba","Benjamín Albero Rueda",Humanidades,"Universidad de Granada"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad Pontificia de Salamanca","Nieves Carvajal","Ciencias Exactas","ESIC Universidad"
"Promover cursos de lenguas extranjeras Universidad Abierta de Cataluña","Lara Pastor Ferrera",Información,"Universidad de Deusto"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Rovira i Virgili","Inés Mayol-Ruano",Derecho,"Universidad Autónoma de Barcelona"
"Crear un programa de eficiencia energética en los edificios de la Universidad Pompeu Fabra","Fabiola Benítez Valdés",Ingeniería,"Universidad Internacional de Valencia"
"Mejorar el sistema de consulta de fondos de la biblioteca de la European University Vitoria-Gasteiz","Carmelita Velasco Almagro","Ciencias Físicas y Matemáticas","Universidad Camilo José Cela"
"Promover cursos de lenguas extranjeras Universidad Rey Juan Carlos","Visitación Sierra","Ciencias de la Educación","CUNEF Universidad"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad de La Laguna","Maricela Casas Villanueva","Ciencias de la Salud","Universidad de Castilla-La Mancha"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad de Vigo","Quique Cabello Lumbreras",Agronomía,"Universidad de Las Palmas de Gran Canaria"
"Promover cursos de lenguas extranjeras Universidad Europea de Canarias","Salvador Lastra Nuñez",Medicina,"Universidad CEU San Pablo"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Antonio de Nebrija","Salvador Lastra Nuñez",Medicina,"Universidad CEU San Pablo"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad de Valladolid","Camilo Jover Capdevila",Humanidades,"Universidad de Oviedo"
"Promover cursos de lenguas extranjeras Universidad Pablo de Olavide","Vicenta Robles Suárez","Ciencias de la Salud","Universidad de Lérida"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Tecnológica Atlántico-Mediterráneo","Arcelia del Vilanova","Educación Física","Universidad de Gerona"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Loyola Andalucía","Reinaldo Salinas","Ciencias de la Salud","Universidad de Mondragón"
"Crear un programa de eficiencia energética en los edificios de la Universidad Abierta de Cataluña","Lucía Colom-Almansa",Veterinaria,"Universidad de Granada"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Europea de Valencia","Valerio Maestre Costa",Ingeniería,"Universidad de Jaén"
"Hacer un huerto en Universidad de Córdoba","Alejandra Francisco Aller",Derecho,"Universidad CEU Cardenal Herrera"
"Promover cursos de lenguas extranjeras Universidad de Málaga","Saturnina de Cánovas",Derecho,"Universidad de Deusto"
"Promover cursos de lenguas extranjeras Universidad de La Rioja","Iris de Sanmartín",Filosofía,"Universidad Católica Santa Teresa de Jesús de Ávila"
"Crear un programa de eficiencia energética en los edificios de la Universidad Pública de Navarra","Fortunato Valenciano Duque",Agronomía,"Universidad de Gerona"
"Promover el deporte en la vida universitaria Universidad Pontificia de Salamanca","Paola de Santana",Agronomía,"Universidad Alfonso X el Sabio"
"Promover el deporte en la vida universitaria Universidad de Vich","Lorena del Redondo",Humanidades,"Universidad Pontificia Comillas"
"Hacer un huerto en Universidad Alfonso X el Sabio","Florentino Velasco Infante",Medicina,"Universidad Politécnica de Cataluña"
"Hacer un huerto en Universidad de Zaragoza","Moisés Arrieta Bernat",Veterinaria,"Universidad de Diseño, Innovación y Tecnología"
"Hacer un huerto en Universidad de Huelva","Ildefonso de Ferrera",Humanidades,"Universidad de Zaragoza"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad de Zaragoza","Teresa Coca Salinas",Odontología,"Universidad Internacional de Andalucía"
"Promover cursos de lenguas extranjeras Universidad Eclesiástica San Dámaso","Joan Cantero Mascaró",Comunicación,"Universidad de Las Palmas de Gran Canaria"
"Crear un programa de eficiencia energética en los edificios de la Universidad de Málaga","Tatiana Roca Vigil",Veterinaria,"Universidad de Cádiz"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Autónoma de Madrid","Edgardo Alonso Ibáñez","Ciencias Exactas","CUNEF Universidad"
"Crear un programa de eficiencia energética en los edificios de la Universidad Abierta de Cataluña","Fermín Montesinos Ojeda",Matemática,"Universidad Europea de Madrid"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Autónoma de Barcelona","Lázaro Llano Carvajal",Diseño,"Universidad Abad Oliva CEU"
"Hacer un huerto en Universidad Abad Oliva CEU","Rafa Caballero Buendía",Comunicación,"Universidad Eclesiástica San Dámaso"
"Promover cursos de lenguas extranjeras Universidad a Distancia de Madrid","Custodia Garmendia Bonilla",Humanidades,"Universidad Católica Santa Teresa de Jesús de Ávila"
"Promover el deporte en la vida universitaria Universidad Pablo de Olavide","Roxana Parra Pintor","Educación Física","Universidad Eclesiástica San Dámaso"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Nacional de Educación a Distancia","Matilde Eusebia Mulet Blasco",Diseño,"Universidad Antonio de Nebrija"
"Promover curso de capacitación profesionales Universidad de Murcia","Amancio Pascual Arcos","Ciencias de la Educación","Universidad Camilo José Cela"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Abad Oliva CEU","Luisa Molina Contreras",Odontología,"Universidad de La Coruña"
"Quitar las nuevas vallas de los jardines entre facultades Universidad Autónoma de Barcelona","Natalio Gerardo Huerta Vallejo",Ingeniería,"Universidad IE"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Nacional de Educación a Distancia","Lino del Beltran",Veterinaria,"Universidad Pablo de Olavide"
"Promover curso de capacitación profesionales Universidad Camilo José Cela","Emigdio Camino Borja",Comunicación,"Universidad Autónoma de Barcelona"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad de Huelva","Fabiola Vicente Navarrete",Humanidades,"Universidad de las Islas Baleares"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad CEU San Pablo","Ambrosio Malo Albero",Ingeniería,"Universidad Abad Oliva CEU"
"Promover cursos de lenguas extranjeras Universidad de Huelva","Candela Montero Fabregat",Matemática,"Universidad Fernando III"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Eclesiástica San Dámaso","Samuel Lerma Plana",Agronomía,"Universidad de las Islas Baleares"
"Promover cursos de lenguas extranjeras Universidad de Jaén","Manola Santamaría Angulo",Derecho,"Universidad de Mondragón"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad de Salamanca","Cirino Ciro Salazar Cid",Filosofía,"Universidad Politécnica de Cataluña"
"Promover el deporte en la vida universitaria Universidad de Alicante","Alberto Pujadas Solana",Odontología,"Universidad de Oviedo"
"Promover el deporte en la vida universitaria Universidad de Santiago de Compostela","Guadalupe Viñas Carbó",Comunicación,"Universidad de Castilla-La Mancha"
"Promover el deporte en la vida universitaria Universidad Antonio de Nebrija","Marcelo Juliá Carreño",Humanidades,"Universidad de Diseño, Innovación y Tecnología"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Rey Juan Carlos","Cristian Rovira",Comunicación,"Universidad de Gerona"
"Quitar las nuevas vallas de los jardines entre facultades Universidad Internacional Villanueva","Valero Aitor Alegria Alfonso","Ciencias Económicas","Universidad de Oviedo"
"Promover el deporte en la vida universitaria Universidad Francisco de Vitoria","Cristian Santiago Márquez",Derecho,"Universidad Jaime I"
"Quitar las nuevas vallas de los jardines entre facultades Universidad Alfonso X el Sabio","Rita Morera",Diseño,"Universidad de Gerona"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad CEU San Pablo","Lorena Giménez Manzano","Ciencias Económicas","Universidad CEU San Pablo"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Autónoma de Madrid","Delfina Vélez Cervera","Ciencias de la Salud","Universidad Pablo de Olavide"
"Hacer un huerto en Universidad de Málaga","Natanael Correa Naranjo","Educación Física","Universidad de Mondragón"
"Quitar las nuevas vallas de los jardines entre facultades Universidad de Vich","David Jimenez Ramón","Ciencias Físicas y Matemáticas","Universidad San Jorge"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad CEU San Pablo","Xavier Tenorio Tena","Ciencias Sociales","ESIC Universidad"
"Promover cursos de lenguas extranjeras Universidad Camilo José Cela","Ibán Domínguez Milla",Veterinaria,"Universidad Católica Santa Teresa de Jesús de Ávila"
"Promover curso de capacitación profesionales Universidad Complutense de Madrid","Eutropio Haro Moliner","Ciencias Exactas","Universidad de Castilla-La Mancha"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad Complutense de Madrid","Purificación Marco Samper","Ciencias Exactas","Universidad de Lérida"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad de Las Palmas de Gran Canaria","Elba Ugarte Carbonell","Ciencias Sociales","Universidad Jaime I"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Camilo José Cela","Carlos Artigas Otero","Ciencias Físicas y Matemáticas","Universidad Camilo José Cela"
"Quitar las nuevas vallas de los jardines entre facultades Universidad de Jaén","Pascuala Fabregat",Ingeniería,"Universidad Tecnológica Atlántico-Mediterráneo"
"Promover cursos de lenguas extranjeras Universidad de Gerona","Antonia Puga Azorin",Información,"Universidad de Vich"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad de Sevilla","Donato Cal Manso",Psicología,"Universidad Abad Oliva CEU"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad de Granada","Nico Díez Bermúdez","Ciencias Económicas","Universidad Fernando Pessoa-Canarias"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad de Cantabria","Alonso Adán Porcel",Psicología,"Universidad Antonio de Nebrija"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Complutense de Madrid","Pánfilo Solsona-Ropero",Arquitectura,"Universidad Rovira i Virgili"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Pablo de Olavide","Josefina Valencia Berenguer",Veterinaria,"Universidad Loyola Andalucía"
"Promover curso de capacitación profesionales Universidad Fernando III","Florina Alcalde-Taboada",Ingeniería,"Universidad Carlos III de Madrid"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Loyola Andalucía","Ciriaco Pedro Rius","Ciencias Exactas","Universidad de Santiago de Compostela"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad Ramon Llull","Ruben de Catalán",Diseño,"Universidad Católica Santa Teresa de Jesús de Ávila"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad de Almería","Clotilde Nuria Llano Jove",Arquitectura,"Universidad de Oviedo"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad IE","Ruperto Chacón Noguera","Ciencias Económicas","Universidad de Alicante"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la European University Vitoria-Gasteiz","Dorotea Robles-Hurtado","Educación Física","Universidad de Málaga"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad de Las Palmas de Gran Canaria","Cipriano Andres Quero","Ciencias Económicas","Universidad de Valencia"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad de Las Palmas de Gran Canaria","Eugenia Canet","Ciencias Exactas","Universidad Católica Santa Teresa de Jesús de Ávila"
"Crear un programa de eficiencia energética en los edificios de la Universidad Camilo José Cela","Eloísa del Gallardo",Odontología,"Universidad Internacional Menéndez Pelayo"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Europea Miguel de Cervantes","Agapito Roda-Boada",Humanidades,"Universidad Pontificia Comillas"
"Promover el deporte en la vida universitaria Universidad Politécnica de Valencia","Renata Jaén Palau","Ciencias Exactas","Universidad de Deusto"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad de Mondragón","Alejo Gálvez",Diseño,"Universidad de La Coruña"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad de las Islas Baleares","Máximo Sanchez Velasco","Ciencias de la Educación","Universidad Pública de Navarra"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad de Huelva","Iris Nuñez Barrios",Veterinaria,"Universidad Internacional de La Rioja"
"Promover cursos de lenguas extranjeras Universidad de Navarra","Angélica Bonet-Almagro",Matemática,"Universidad Intercontinental de la Empresa"
"Crear un programa de eficiencia energética en los edificios de la Universidad del País Vasco","Marina Roma Carvajal",Química,"Universidad Europea del Atlántico"
"Promover curso de capacitación profesionales Universidad Complutense de Madrid","Severiano Villegas Jover","Ciencias Exactas","Universidad de Navarra"
"Hacer un huerto en Universidad de Burgos","Lina Ibañez Borrego",Información,"Universidad de Almería"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Rovira i Virgili","José Manuel Baeza",Derecho,"Universidad Complutense de Madrid"
"Quitar las nuevas vallas de los jardines entre facultades Universidad de Valladolid","Rebeca Otilia Sánchez Sierra",Odontología,"Universidad Politécnica de Cataluña"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Rovira i Virgili","Olalla Juan",Filosofía,"Universidad de Zaragoza"
"Crear un programa de eficiencia energética en los edificios de la Universidad IE","Jafet Morillo Estévez",Agronomía,"Universidad Internacional Menéndez Pelayo"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Nacional de Educación a Distancia","Elena Alegre Alberto","Ciencias de la Salud","Universidad Rey Juan Carlos"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad de Santiago de Compostela","Borja Calderón Morales",Medicina,"Universidad de Deusto"
"Promover el deporte en la vida universitaria Universidad de Sevilla","Emperatriz Puig Quintanilla",Ingeniería,"Universidad de Alcalá"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad de Las Palmas de Gran Canaria","Juanito Leon Mínguez",Diseño,"Universidad Autónoma de Barcelona"
"Promover el deporte en la vida universitaria Universidad de Cádiz","Herminio Duarte Revilla","Ciencias Económicas","Universidad Carlos III de Madrid"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Miguel Hernández de Elche","María Carmen Gaya Amorós","Ciencias Sociales","Universidad Europea del Atlántico"
"Promover cursos de lenguas extranjeras Universidad de Almería","René Torrijos","Ciencias Sociales","Universidad Politécnica de Cataluña"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad de Navarra","Fulgencio Villar Canet",Filosofía,"Universidad de Lérida"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Pública de Navarra","Natanael Bayo Daza",Química,"Universidad Europea de Valencia"
"Promover cursos de lenguas extranjeras Universidad de Valencia","Arcelia del Barrena","Ciencias Físicas y Matemáticas","Universidad San Jorge"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Internacional Isabel I de Castilla","Donato Garrido-Blanco",Veterinaria,"Universidad Fernando Pessoa-Canarias"
"Crear un programa de eficiencia energética en los edificios de la Universidad Politécnica de Valencia","Celia Torrens",Química,"Universidad Intercontinental de la Empresa"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Abad Oliva CEU","Manuel Vergara Sanabria",Odontología,"Universidad Eclesiástica San Dámaso"
"Quitar las nuevas vallas de los jardines entre facultades Universidad Autónoma de Barcelona","Pedro Eliseo Royo Teruel",Información,"Universidad Miguel Hernández de Elche"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad de Cádiz","Héctor Cuesta López",Ingeniería,"Universidad de Jaén"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad de Barcelona","Rosalía Leon-Polo",Matemática,"Universidad Europea de Canarias"
"Crear un programa de eficiencia energética en los edificios de la Universidad Alfonso X el Sabio","Cesar Vilalta Mancebo",Veterinaria,"Universidad Pontificia de Salamanca"
"Quitar las nuevas vallas de los jardines entre facultades Universidad Politécnica de Cataluña","Valerio Vendrell-Franch","Ciencias de la Educación","Universidad Internacional de la Empresa"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad de Alcalá","Edgardo Ezequiel Barrios Palomares",Psicología,"Universidad de Burgos"
